x,y,z
-7.876644125271877,-6.691540122492852,27.791448388496672
-7.76176367859073,-6.648585454956872,27.57478995508581
-7.654639805122215,-6.621719401495691,27.354000096379405
-7.556050937183605,-6.611254987529685,27.130896097745033
-7.466696497270114,-6.61731052453681,26.90726239406546
-7.387196898054883,-6.639809610052602,26.68485056973862
-7.318093542389001,-6.678481127670173,26.465379358677666
-7.259848823301488,-6.732859247040215,26.25053464431091
-7.212846123999304,-6.802283423871002,26.041969459581875
-7.177389817867343,-6.885898399928383,25.841303986949253
-7.153705268468442,-6.982654203035787,25.650125558386936
-7.141938829543369,-7.091306147074224,25.469988655383997
-7.142157845010833,-7.2104148319822805,25.3024149089447
-7.154350648967478,-7.338346143756123,25.1488930995885
-7.1781336108130125,-7.4738216969665405,25.010519460482083
-7.212318140891555,-7.617741200707364,24.887315428826227
-7.256935504560346,-7.76964306285754,24.780639302514533
-7.312021230646094,-7.92873504863735,24.691854512660726
-7.3774690125572,-8.094104198037783,24.622159046238426
-7.4530307082837615,-8.264716825820537,24.572585446081135
-7.538316340397567,-8.439418521518014,24.544000810882235
-7.632794096052104,-8.616934149433325,24.537106795195008
-7.73579032698255,-8.795867848640281,24.55243960943261
-7.8464895495057805,-8.974703032983406,24.590370019868086
-7.963934444520362,-9.151802391077931,24.651103348634376
-8.087025857506559,-9.325407886309788,24.73467947372429
-8.214522798526326,-9.49364075683562,24.84097282899054
-8.345042442223317,-9.654501515582773,24.969692404145718
-8.477254107221533,-9.806086665004702,25.120361913139053
-8.610854410934433,-9.947308893397876,25.292050540742753
-8.744538513364901,-10.075534017150899,25.483432189986214
-8.876789810564961,-10.188145930074429,25.692923167381043
-9.006114099157402,-10.282861497945095,25.918678014242037
-9.131039576335773,-10.357730558505503,26.15858950668718
-9.250116839864381,-10.411135921464236,26.410288655637633
-9.361918888078293,-10.441793368495844,26.671144706817746
-9.465041119883336,-10.448751653240858,26.938265140755046
-9.558101334756099,-10.43139250130578,27.208495672780252
-9.63973973274393,-10.389430610263085,27.47842025302726
-9.708618914464935,-10.322913649651227,27.744361066433147
-9.763423881107984,-10.23222226097463,28.002378532738184
-9.80288448423503,-10.11801438742927,28.24829215642565
-9.82652935100203,-9.980370586402215,28.478520078137283
-9.834088742485315,-9.821945661325826,28.68995429838128
-9.82529908843055,-9.646219388951721,28.87973587767505
-9.800134596890649,-9.456505660792008,29.045437754855335
-9.75880725422578,-9.255952483119282,29.185064747078243
-9.701766825103363,-9.047541976966627,29.297053549819232
-9.629700852498065,-8.83409037812762,29.38027273687311
-9.54353465769181,-8.618248037156322,29.434022760354033
-9.444431340273768,-8.402499419367283,29.458035950695518
-9.333791778140364,-8.189163104835547,29.452476516650417
-9.213254627495273,-7.98039178839664,29.417940545290953
-9.084696322849421,-7.778172279646583,29.355456002008687
-8.950231077020984,-7.5843255029418835,29.266482730514536
-8.811317984490826,-7.401577758474245,29.15352228495706
-8.668978429548766,-7.23283922579522,29.018886009392652
-8.524969081434476,-7.07963143196621,28.864037313329863
-8.380959973857042,-6.9431947375549266,28.69063399018405
-8.23853328297623,-6.824489913952091,28.500529400254084
-8.099183327402487,-6.724198143371436,28.295772470722355
-7.964316568196942,-6.642721018849704,28.07860769565475
-7.835251608871399,-6.580180544246645,27.851475136000683
-7.713219195388348,-6.536419134245023,27.617010419593072
-7.599362216160955,-6.510999614350607,27.37804474114835
-7.494735702053069,-6.5032052208921804,27.13760486226646
-7.400306826379219,-6.512039601021533,26.898913111430865
-7.316775216979459,-6.536394747745379,26.66440679494056
-7.244198591018478,-6.575940857686478,26.433454461469815
-7.182978938624839,-6.630400298682875,26.207542045589587
-7.133477665468971,-6.699382601503837,25.988331685541066
-7.095968898824699,-6.782405797689747,25.77741496413054
-7.07063948756925,-6.878896419552102,25.576312908729363
-7.057589002183249,-6.988189500173511,25.38647599127398
